Crime Description,Weapon Used,Crime Severity,Victim's Injuries,Evidence Availability,Witness Statements,Citation,Crime Type,Criminal's Previous Record,Criminal Mental Health,Evidence Strength,Criminal's Bail Status,Sentencing Outcome
2,0,0,2,5,2,1,1,0,1,0,1,11
4,0,1,3,9,0,2,4,0,0,1,1,75
1,0,0,1,7,1,3,3,1,0,1,0,0
0,2,2,2,8,0,4,0,1,0,2,0,11
1,2,0,3,5,1,3,3,0,1,0,0,62
1,0,0,3,6,1,3,3,0,0,2,0,62
0,2,2,3,11,2,4,0,1,1,2,1,31
2,2,0,1,6,2,1,1,0,1,0,1,62
4,0,1,3,0,2,2,4,1,0,2,0,11
1,1,0,0,6,0,3,3,1,1,2,1,62
4,2,1,1,9,2,2,4,0,0,2,1,62
1,2,0,3,7,1,3,3,1,1,2,0,11
0,0,2,2,9,0,4,0,0,0,2,0,62
3,0,0,1,10,1,0,2,1,0,2,0,18
4,1,1,1,7,0,2,4,1,1,0,1,62
4,0,1,2,3,0,2,4,1,0,2,1,62
3,0,0,0,4,0,0,2,0,1,2,1,11
4,2,1,3,4,2,2,4,0,1,0,1,62
2,0,0,1,8,0,1,1,1,1,1,0,100
2,0,0,3,9,0,1,1,0,1,0,1,62
3,2,0,1,6,0,0,2,0,1,1,1,58
2,2,0,1,4,2,1,1,1,1,1,0,96
2,0,0,0,5,0,1,1,1,1,2,1,11
0,2,2,2,8,0,4,0,0,0,1,0,77
2,2,0,3,4,1,1,1,1,0,0,0,62
4,1,1,2,9,0,2,4,1,1,1,0,74
0,2,2,3,4,2,4,0,0,0,0,1,27
0,2,2,1,9,2,4,0,1,1,1,1,79
3,2,0,0,5,0,0,2,1,0,0,0,62
4,0,1,3,2,0,2,4,0,0,1,1,73
3,2,0,1,0,0,0,2,1,0,2,0,16
0,2,2,0,0,2,4,0,0,0,0,1,11
3,0,0,0,7,2,0,2,1,1,0,1,11
0,2,2,0,3,0,4,0,0,1,0,0,62
0,2,2,3,2,2,4,0,1,1,2,1,29
3,2,0,1,2,2,0,2,0,0,0,0,11
2,2,0,3,4,0,1,1,0,0,0,0,62
1,2,0,1,3,2,3,3,1,1,2,1,51
0,0,2,0,3,1,4,0,1,0,0,1,11
4,0,1,2,9,2,2,4,1,1,2,0,35
4,0,1,3,0,0,2,4,1,1,0,1,49
2,2,0,3,5,0,1,1,1,0,0,1,11
4,1,1,1,11,1,2,4,1,0,1,0,71
3,2,0,2,9,0,0,2,1,0,0,1,17
1,1,0,0,5,1,3,3,0,0,1,1,6
0,0,2,1,8,2,4,0,0,1,0,0,62
3,2,0,2,7,1,0,2,1,1,0,1,62
0,0,2,0,6,2,4,0,1,1,2,0,30
4,1,1,0,11,0,2,4,1,0,0,1,11
2,2,0,3,1,2,1,1,0,1,0,1,11
1,2,0,0,7,2,3,3,1,0,0,1,62
4,1,1,2,8,2,2,4,1,1,2,0,62
1,1,0,0,3,2,3,3,1,0,2,1,62
4,2,1,0,3,0,2,4,1,1,2,1,11
0,2,2,2,1,1,4,0,1,0,0,1,32
2,2,0,0,0,0,1,1,0,0,0,1,38
1,0,0,3,7,2,3,3,0,0,1,0,2
2,1,0,2,8,0,1,1,1,1,1,0,99
0,1,2,0,6,2,4,0,1,0,2,1,24
4,0,1,0,11,1,2,4,1,0,1,1,68
1,0,0,0,8,1,3,3,0,1,0,1,11
3,0,0,1,10,2,0,2,1,1,2,0,62
2,2,0,2,0,1,1,1,1,0,2,1,11
0,1,2,2,9,2,4,0,0,1,2,1,11
2,2,0,3,8,1,1,1,1,1,0,1,11
2,0,0,0,9,1,1,1,1,1,0,1,62
0,1,2,0,10,1,4,0,0,0,1,1,76
1,1,0,3,3,0,3,3,0,1,1,0,3
4,2,1,3,8,2,2,4,1,0,2,0,50
1,1,0,3,0,0,3,3,0,0,0,1,40
1,0,0,1,8,0,3,3,1,1,2,0,11
4,0,1,3,7,1,2,4,1,0,2,1,62
1,2,0,0,0,0,3,3,1,0,0,1,54
0,1,2,1,1,0,4,0,1,1,0,1,62
3,2,0,2,5,1,0,2,0,0,0,1,62
4,0,1,1,8,0,2,4,0,1,2,1,62
2,2,0,1,6,0,1,1,1,0,2,1,62
3,2,0,1,0,0,0,2,0,1,1,1,59
4,2,1,3,11,0,2,4,1,1,0,0,62
2,1,0,3,7,1,1,1,0,0,0,1,11
4,1,1,1,8,1,2,4,0,0,1,0,66
0,1,2,3,9,2,4,0,1,1,2,1,62
1,2,0,0,4,1,3,3,0,1,2,1,55
1,0,0,1,6,2,3,3,0,0,2,1,11
2,1,0,0,4,1,1,1,0,0,2,0,62
1,2,0,3,6,2,3,3,1,1,1,1,10
2,1,0,3,8,2,1,1,1,1,1,0,94
3,0,0,2,4,0,0,2,1,1,1,0,60
4,1,1,3,3,0,2,4,0,1,1,1,63
2,1,0,3,0,2,1,1,0,1,1,1,97
1,1,0,3,10,0,3,3,0,0,1,1,8
2,0,0,2,3,0,1,1,1,1,1,0,92
4,1,1,2,0,0,2,4,1,0,0,1,62
4,0,1,1,4,0,2,4,0,0,0,0,11
2,1,0,3,5,2,1,1,0,1,2,1,39
2,2,0,0,9,0,1,1,1,1,1,0,88
3,0,0,3,9,2,0,2,0,0,0,0,22
1,0,0,1,4,0,3,3,1,1,1,1,9
1,0,0,0,11,2,3,3,0,0,1,0,1
2,1,0,3,2,0,1,1,1,0,2,1,62
0,1,2,2,5,2,4,0,1,1,2,1,62
0,1,2,3,11,0,4,0,1,0,0,1,62
3,1,0,3,5,2,0,2,1,1,2,0,62
1,0,0,1,0,0,3,3,1,1,1,1,4
4,0,1,1,8,1,2,4,1,0,0,0,48
0,2,2,2,0,2,4,0,1,1,0,1,26
3,1,0,2,9,1,0,2,0,1,2,0,62
4,1,1,3,4,2,2,4,0,0,1,0,67
3,2,0,3,4,1,0,2,1,0,1,1,61
3,0,0,2,9,1,0,2,1,1,1,0,14
3,2,0,2,11,2,0,2,1,0,0,1,15
1,0,0,2,6,2,3,3,0,1,2,0,41
0,0,2,2,6,1,4,0,1,0,1,1,82
2,2,0,0,11,1,1,1,0,0,1,0,90
3,0,0,0,6,0,0,2,0,1,2,0,11
4,1,1,2,10,2,2,4,1,0,1,0,70
0,0,2,2,1,1,4,0,0,0,1,0,80
0,2,2,2,7,2,4,0,0,0,1,0,86
4,0,1,3,0,1,2,4,1,1,0,0,11
2,1,0,0,11,0,1,1,1,1,0,1,11
2,1,0,3,0,1,1,1,1,0,1,0,93
0,0,2,2,9,1,4,0,0,1,1,1,83
0,2,2,0,0,1,4,0,1,1,1,0,78
3,1,0,3,6,1,0,2,0,1,1,0,12
4,1,1,1,10,2,2,4,0,1,1,1,72
1,2,0,0,5,2,3,3,0,0,1,0,7
3,2,0,1,7,0,0,2,0,0,2,1,62
0,0,2,3,5,0,4,0,1,0,1,1,84
0,2,2,1,1,2,4,0,0,0,0,0,11
4,2,1,3,7,0,2,4,0,1,0,0,62
2,1,0,1,5,2,1,1,0,1,0,1,62
2,1,0,0,5,2,1,1,1,1,2,1,11
3,2,0,1,11,1,0,2,0,1,2,1,11
3,0,0,0,4,1,0,2,0,0,2,0,62
0,2,2,1,0,0,4,0,0,1,1,1,85
1,2,0,3,3,2,3,3,0,1,0,1,53
2,0,0,3,4,0,1,1,0,0,0,1,45
2,0,0,3,11,1,1,1,1,1,1,1,89
2,0,0,1,3,1,1,1,0,0,1,1,95
1,2,0,3,4,0,3,3,0,0,0,1,62
1,1,0,2,0,1,3,3,0,0,2,1,62
4,1,1,0,0,2,2,4,0,1,1,0,65
2,0,0,0,0,2,1,1,0,0,0,0,46
0,1,2,3,10,2,4,0,0,1,2,0,62
1,0,0,0,2,1,3,3,0,1,0,0,62
3,0,0,0,8,0,0,2,1,1,0,1,62
3,2,0,2,8,2,0,2,1,0,0,1,62
1,0,0,2,6,0,3,3,1,0,1,1,5
4,2,1,3,2,0,2,4,0,0,0,0,62
4,0,1,3,5,1,2,4,1,1,2,1,62
2,1,0,1,11,2,1,1,1,0,2,0,43
0,2,2,2,4,1,4,0,1,0,2,0,11
3,1,0,2,4,0,0,2,1,1,0,1,62
0,0,2,2,5,0,4,0,1,0,2,1,33
4,0,1,0,3,0,2,4,1,1,2,0,62
4,1,1,3,3,2,2,4,0,0,2,0,11
3,2,0,0,1,0,0,2,1,1,1,0,56
2,0,0,2,7,1,1,1,0,0,0,0,47
3,0,0,3,10,1,0,2,0,1,2,1,21
2,0,0,2,8,2,1,1,1,0,2,0,62
3,0,0,3,4,1,0,2,1,0,0,0,11
0,1,2,0,11,0,4,0,0,1,0,0,62
4,1,1,2,7,2,2,4,0,1,0,0,36
0,0,2,1,1,2,4,0,1,1,0,0,34
2,1,0,3,1,1,1,1,0,1,1,1,98
1,1,0,2,1,0,3,3,1,0,0,1,62
2,2,0,3,10,0,1,1,1,1,0,1,62
1,2,0,2,8,0,3,3,1,0,2,0,62
4,2,1,2,2,0,2,4,1,1,1,0,64
2,1,0,0,0,1,1,1,0,0,1,0,87
0,2,2,3,3,0,4,0,1,0,1,0,81
3,1,0,1,7,1,0,2,1,1,1,1,13
2,2,0,3,4,1,1,1,1,1,2,1,11
2,2,0,1,10,1,1,1,0,1,0,1,11
3,2,0,1,3,1,0,2,1,0,0,0,19
1,2,0,3,9,0,3,3,0,0,0,1,62
3,1,0,2,10,1,0,2,1,1,2,1,62
1,1,0,3,11,2,3,3,1,1,0,0,44
0,0,2,3,5,0,4,0,0,0,2,1,11
2,2,0,0,3,0,1,1,0,1,1,1,91
1,2,0,1,11,0,3,3,0,0,0,0,62
3,0,0,3,0,1,0,2,0,1,2,0,20
2,0,0,3,7,0,1,1,1,1,0,0,11
0,0,2,2,11,2,4,0,1,1,2,0,11
0,0,2,1,0,1,4,0,0,1,2,1,25
3,0,0,0,2,0,0,2,1,0,2,1,62
2,1,0,2,9,0,1,1,1,0,0,0,11
2,1,0,0,1,1,1,1,0,1,0,0,62
0,0,2,0,5,0,4,0,1,0,0,0,23
1,0,0,0,9,2,3,3,1,1,2,0,42
3,0,0,3,4,1,0,2,0,0,0,1,62
4,1,1,2,7,1,2,4,0,1,2,1,52
1,0,0,0,9,1,3,3,1,1,0,0,37
4,1,1,3,3,0,2,4,1,1,2,0,11
4,1,1,0,2,1,2,4,0,1,1,0,69
3,0,0,1,5,0,0,2,0,1,2,1,11
0,2,2,0,5,0,4,0,0,0,0,0,28
0,2,2,0,4,0,4,0,0,1,0,1,11
3,2,0,0,2,0,0,2,1,1,1,1,57
1,1,0,3,7,2,3,3,1,1,2,0,11
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
1,0,0,1,7,1,3,3,1,0,1,0,0
